titulo,ubicacion,distrito,zona,precio,precio_m2,precio_categoria,tipo_inmueble,tipo_operacion,dormitorios,banos,area,tamano_categoria,antiguedad,anio_construccion,mantenimiento,publicador,fecha_publicacion,url
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,900.0,8.737864077669903,Moderado,Apartamento,Alquiler,2,2,103.0,Grande,16.0,2010,,GARRIDO SECLEN RICARDY BUENAVENTURA,"Hace 1 semana, 1 día - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA",https://www.properati.com.pe/detalle/14032-32-d823-cfb2289def34-6e71b2e0-9ba2-120d
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Barranco, Lima, Lima ",Barranco,Sur,720.0,10.909090909090908,Moderado,Apartamento,Alquiler,2,2,66.0,Mediano,6.0,2020,S/.150,JESUS ALTAMIRANO CONDEMARIN,26 mar. 2023 - Publicado por JESUS ALTAMIRANO CONDEMARIN,https://www.properati.com.pe/detalle/14032-32-d929-423094f1e665-e35d2a8d-ba23-4949
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",Lima,Otro,2300.0,11.855670103092784,Lujo,Casa,Alquiler,5,3,194.0,Grande,64.0,1962,S/.70,Century 21 Horizonte,20 mar. 2023 - Publicado por Century 21 Horizonte,https://www.properati.com.pe/detalle/14032-32-98ae-591ec1d4ea75-d376fe09-8de7-489c
Apartamento en alquiler en Ba. S/N,"Ba. S/N, Rimac, Lima, Lima ",Rimac,Otro,1200.0,8.955223880597014,Alto,Apartamento,Alquiler,1,2,134.0,Grande,,,S/.650,KRB Agencia Perú,"Hace 4 días, 2 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-e243-fa558c79236d-1d09f077-a2ae-49d1
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1450.0,7.837837837837838,Alto,Apartamento,Alquiler,4,2,185.0,Grande,26.0,2000,S/.225,SOCIOS INMOBILIARIOS,7 feb. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-395e-7fe825129747-57da5cd2-9bd3-4737
Finca en alquiler en Tarata,"Tarata, Tarata, Tacna ",Tarata,Otro,1820.0,22.75,Alto,Finca,Alquiler,2,2,80.0,Mediano,,,,MAS PROPERTIES,17 oct. 2022 - Publicado por MAS PROPERTIES,https://www.properati.com.pe/detalle/14032-32-e76d-d40a944ecf-a2cf456f-9dbc-3c99
Apartamento en alquiler en Tacna,"Tacna, Tacna, Tacna ",Tacna,Otro,980.0,24.5,Moderado,Apartamento,Alquiler,1,1,40.0,Pequeño,,,,MAS PROPERTIES,17 oct. 2022 - Publicado por MAS PROPERTIES,https://www.properati.com.pe/detalle/14032-32-cdba-c24d0eac5a38-b773dc73-8fba-3fdb
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Lima, Lima, Lima ",Lima,Otro,650.0,9.701492537313433,Moderado,Apartamento,Alquiler,2,2,67.0,Mediano,,,,Remax Concept,24 feb. 2023 - Publicado por Remax Concept,https://www.properati.com.pe/detalle/14032-32-49a0-30bd2c863788-b3875756-a152-4c8d
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",San Isidro,Centro,620.0,6.888888888888889,Moderado,Apartamento,Alquiler,1,2,90.0,Mediano,11.0,2015,,Fernando Alcalá Luna,28 feb. 2023 - Publicado por Fernando Alcalá Luna,https://www.properati.com.pe/detalle/14032-32-b78b-3f221c6da128-d1c75a60-b00f-120d
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",Lima,Otro,1800.0,6.25,Alto,Casa,Alquiler,4,3,288.0,Muy Grande,23.0,2003,,Inmoba Peru SAC,Hace 17 horas - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-19fd-d2114f867c49-9bf1a34c-8c32-4ee8
